Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Star Wars: The Clone Wars,23,"Animation, Action, Adventure","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",8.3,69586,2008
Once Upon a Time,60,"Adventure, Fantasy, Romance","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",7.7,211260,2011
Happy Endings,22,"Comedy, Romance","Eliza Coupe, Elisha Cuthbert, Zachary Knighton, Adam Pally",7.7,34985,2011
Orange Is the New Black,59,"Comedy, Crime, Drama","Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",8,282708,2013
Batwoman,45,"Action, Adventure, Crime","Camrus Johnson, Rachel Skarsten, Meagan Tandy, Nicole Kang",3.4,35252,2019
Killing Eve,42,"Action, Adventure, Drama","Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia",8.2,91713,2018
Mr. Robot,49,"Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",8.5,342252,2015
In Treatment,25,Drama,"Gabriel Byrne, Dianne Wiest, Uzo Aduba, Michelle Forbes",8.2,15975,2008
Narcos,49,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",8.8,370793,2015
Sherlock,88,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",9.1,830345,2010
Virgin River,44,"Drama, Romance","Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Lauren Hammersley",7.5,22957,2019
The Mentalist,43,"Crime, Drama, Mystery","Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman",8.1,168774,2008
Élite,60,"Crime, Drama, Thriller","Itzan Escamilla, Omar Ayuso, Miguel Bernardeau, Arón Piper",7.5,53781,2018
Arrested Development,22,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",8.7,281873,2003
24,44,"Action, Crime, Drama","Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert",8.3,174994,2001
Supergirl,43,"Action, Adventure, Drama","Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",6.2,114304,2015
High School Musical: The Musical - The Series,31,"Comedy, Drama, Musical","Olivia Rodrigo, Joshua Bassett, Matt Cornett, Larry Saperstein",7.3,4349,2019
Death in Paradise,60,"Comedy, Crime, Drama","Elizabeth Bourgine, Danny John-Jules, Don Warrington, Tobi Bakare",7.8,15714,2011
Animal Kingdom,60,"Crime, Drama","Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole",8.2,25295,2016
Mindhunter,60,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",8.6,230420,2017
The Sinner,45,"Crime, Drama, Mystery","Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel",7.9,95316,2017
True Blood,55,"Drama, Fantasy, Mystery","Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten",7.8,231653,2008
Psych,44,"Comedy, Crime, Mystery","James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen",8.3,87200,2006
Jack Ryan,60,"Action, Drama, Thriller","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish",8.1,95243,2018
Demon Slayer: Kimetsu No Yaiba,25,"Animation, Action, Fantasy","Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",8.7,41388,2019
Prodigal Son,44,"Crime, Drama, Mystery","Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau",7.7,16048,2019
You,45,"Crime, Drama, Romance","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",7.7,153731,2018
Blue Bloods,43,"Crime, Drama, Mystery","Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",7.6,33544,2010
Castle,43,"Comedy, Crime, Drama","Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas",8.1,142862,2009
Inside No. 9,30,"Comedy, Drama, Horror","Reece Shearsmith, Steve Pemberton, Derek Jacobi, Rosie Cavaliero",8.5,13578,2014
Spartacus: Blood and Sand,55,"Action, Adventure, Biography","Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",8.5,227020,2010
Young Sheldon,30,Comedy,"Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan",7.5,38209,2017
The Good Place,22,"Comedy, Drama, Fantasy","Kristen Bell, William Jackson Harper, Jameela Jamil, ""DArcy Carden""",8.2,123902,2016
A Discovery of Witches,60,"Drama, Fantasy, Romance","Matthew Goode, Teresa Palmer, Valarie Pettiford, Alex Kingston",8,35721,2018
NCIS: Los Angeles,43,"Action, Crime, Drama","""Chris ODonnell"", Daniela Ruah, Barrett Foa, LL Cool J",6.7,49501,2009
Motherland,30,Comedy,"Anna Maxwell Martin, Lucy Punch, Diane Morgan, Paul Ready",7.8,3060,2016
Bob's Burgers,22,"Animation, Comedy","H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts",8.1,68033,2011
Desperate Housewives,45,"Comedy, Drama, Mystery","Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria",7.5,118588,2004
The Girlfriend Experience,27,Drama,"Riley Keough, Paul Sparks, Julia Goldani Telles, Mary Lynn Rajskub",7.1,9443,2016
Avatar: The Last Airbender,23,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",9.3,260893,2005
Star Trek: Discovery,60,"Action, Adventure, Drama","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",7.2,99850,2017
iCarly,30,"Comedy, Family, Romance","Miranda Cosgrove, Jerry Trainor, Jennette McCurdy, Nathan Kress",6.7,34665,2007
NCIS: New Orleans,42,"Crime, Drama, Mystery","Scott Bakula, Rob Kerkovich, CCH Pounder, Daryl Mitchell",6.8,15839,2014
Justified,44,"Action, Crime, Drama","Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts",8.6,88999,2010
The Marvelous Mrs. Maisel,57,"Comedy, Drama","Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle",8.7,85702,2017
City on a Hill,60,"Crime, Drama, Thriller","Kevin Bacon, Aldis Hodge, Lauren E. Banks, Amanda Clayton",7.6,9041,2019
